 Total battles: 46297
 Avg. weight/team: 0.089
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 54   | Aegislash          |  1.84513% | 2974   |  3.212% | 2382   |  3.141% | 
 | 55   | Nihilego           |  1.42278% | 1152   |  1.244% | 885    |  1.167% | 
 | 56   | Cloyster           |  1.35732% | 2149   |  2.321% | 1615   |  2.130% | 
 | 57   | Jirachi            |  1.27548% | 1546   |  1.670% | 1200   |  1.582% | 
 | 58   | Tapu Bulu          |  1.22275% | 800    |  0.864% | 611    |  0.806% | 
 | 59   | Tangrowth          |  1.18489% | 1212   |  1.309% | 972    |  1.282% | 
 | 60   | Reuniclus          |  1.15707% | 885    |  0.956% | 672    |  0.886% | 
 | 61   | Suicune            |  1.04838% | 952    |  1.028% | 801    |  1.056% | 
 | 62   | Quagsire           |  1.04653% | 1497   |  1.617% | 1202   |  1.585% | 
 | 63   | Swampert           |  1.04531% | 2292   |  2.475% | 2010   |  2.650% | 
 | 64   | Seismitoad         |  0.98918% | 2070   |  2.236% | 1708   |  2.252% | 
 | 65   | Hawlucha           |  0.96190% | 2107   |  2.276% | 1430   |  1.886% | 
 | 66   | Regieleki          |  0.87763% | 2781   |  3.003% | 2141   |  2.823% | 
 | 67   | Polteageist        |  0.86860% | 1279   |  1.381% | 1002   |  1.321% | 
 | 68   | Hydreigon          |  0.81009% | 1536   |  1.659% | 1205   |  1.589% | 
 | 69   | Azumarill          |  0.78922% | 1141   |  1.232% | 932    |  1.229% | 
 | 70   | Audino             |  0.69984% | 165    |  0.178% | 132    |  0.174% | 
 | 71   | Cresselia          |  0.68124% | 923    |  0.997% | 688    |  0.907% | 
 | 72   | Porygon2           |  0.65496% | 1384   |  1.495% | 1164   |  1.535% | 
 | 73   | Dracozolt          |  0.58084% | 1736   |  1.875% | 1403   |  1.850% | 
 | 74   | Torkoal            |  0.57838% | 2239   |  2.418% | 2068   |  2.727% | 
 | 75   | Zapdos-Galar       |  0.55872% | 1526   |  1.648% | 1258   |  1.659% | 
 | 76   | Regidrago          |  0.54586% | 267    |  0.288% | 223    |  0.294% | 
 | 77   | Venusaur           |  0.52813% | 2123   |  2.293% | 1703   |  2.246% | 
 | 78   | Chansey            |  0.47742% | 1275   |  1.377% | 960    |  1.266% | 
 | 79   | Conkeldurr         |  0.42580% | 832    |  0.899% | 659    |  0.869% | 
 | 80   | Blastoise          |  0.41571% | 774    |  0.836% | 566    |  0.746% | 
 | 81   | Rhyperior          |  0.41520% | 371    |  0.401% | 328    |  0.432% | 
 | 82   | Keldeo             |  0.40774% | 836    |  0.903% | 707    |  0.932% | 
 | 83   | Snorlax            |  0.37224% | 725    |  0.783% | 584    |  0.770% | 
 | 84   | Stakataka          |  0.32998% | 563    |  0.608% | 466    |  0.614% | 
 | 85   | Shedinja           |  0.32303% | 790    |  0.853% | 553    |  0.729% | 
 | 86   | Kingdra            |  0.30184% | 937    |  1.012% | 687    |  0.906% | 
 | 87   | Mamoswine          |  0.29315% | 1064   |  1.149% | 889    |  1.172% | 
 | 88   | Mimikyu            |  0.28993% | 854    |  0.922% | 636    |  0.839% | 
 | 89   | Krookodile         |  0.28390% | 466    |  0.503% | 375    |  0.494% | 
 | 90   | Rotom-Heat         |  0.27557% | 739    |  0.798% | 613    |  0.808% | 
 | 91   | Sigilyph           |  0.27420% | 108    |  0.117% | 94     |  0.124% | 
 | 92   | Haxorus            |  0.26910% | 591    |  0.638% | 454    |  0.599% | 
 | 93   | Terrakion          |  0.26179% | 545    |  0.589% | 444    |  0.585% | 
 | 94   | Shuckle            |  0.26036% | 1201   |  1.297% | 1096   |  1.445% | 
 | 95   | Ditto              |  0.24697% | 491    |  0.530% | 407    |  0.537% | 
 | 96   | Umbreon            |  0.23743% | 910    |  0.983% | 683    |  0.901% | 
 | 97   | Alakazam           |  0.23426% | 1145   |  1.237% | 849    |  1.119% | 
 | 98   | Diggersby          |  0.23270% | 526    |  0.568% | 426    |  0.562% | 
 | 99   | Gengar             |  0.23265% | 2124   |  2.294% | 1589   |  2.095% | 
 | 100  | Guzzlord           |  0.22886% | 155    |  0.167% | 132    |  0.174% | 
 | 101  | Necrozma           |  0.19545% | 249    |  0.269% | 186    |  0.245% | 
 | 102  | Cobalion           |  0.19262% | 271    |  0.293% | 240    |  0.316% | 
 | 103  | Latios             |  0.18196% | 726    |  0.784% | 567    |  0.748% | 
 | 104  | Espeon             |  0.17684% | 987    |  1.066% | 811    |  1.069% | 
 | 105  | Entei              |  0.17662% | 178    |  0.192% | 148    |  0.195% | 
 | 106  | Avalugg            |  0.17216% | 99     |  0.107% | 76     |  0.100% | 
 | 107  | Klefki             |  0.17019% | 598    |  0.646% | 539    |  0.711% | 
 | 108  | Thundurus-Therian  |  0.15810% | 502    |  0.542% | 407    |  0.537% | 
 | 109  | Darmanitan         |  0.15463% | 651    |  0.703% | 504    |  0.665% | 
 | 110  | Zygarde-10%        |  0.14508% | 188    |  0.203% | 149    |  0.196% | 
 | 111  | Primarina          |  0.13763% | 678    |  0.732% | 523    |  0.690% | 
 | 112  | Omastar            |  0.11883% | 141    |  0.152% | 102    |  0.134% | 
 | 113  | Lycanroc-Dusk      |  0.11783% | 565    |  0.610% | 388    |  0.512% | 
 | 114  | Porygon-Z          |  0.11130% | 312    |  0.337% | 256    |  0.338% | 
 | 115  | Slowbro-Galar      |  0.11015% | 414    |  0.447% | 301    |  0.397% | 
 | 116  | Gardevoir          |  0.10643% | 523    |  0.565% | 404    |  0.533% | 
 | 117  | Amoonguss          |  0.10516% | 848    |  0.916% | 676    |  0.891% | 
 | 118  | Moltres            |  0.10341% | 559    |  0.604% | 470    |  0.620% | 
 | 119  | Drapion            |  0.09888% | 206    |  0.222% | 156    |  0.206% | 
 | 120  | Trapinch           |  0.09229% | 27     |  0.029% | 15     |  0.020% | 
 | 121  | Xatu               |  0.08868% | 217    |  0.234% | 163    |  0.215% | 
 | 122  | Registeel          |  0.07834% | 234    |  0.253% | 182    |  0.240% | 
 | 123  | Vanilluxe          |  0.07729% | 217    |  0.234% | 180    |  0.237% | 
 | 124  | Latias             |  0.07544% | 435    |  0.470% | 357    |  0.471% | 
 | 125  | Zoroark            |  0.07481% | 361    |  0.390% | 161    |  0.212% | 
 | 126  | Gigalith           |  0.07326% | 270    |  0.292% | 242    |  0.319% | 
 | 127  | Togekiss           |  0.07201% | 1660   |  1.793% | 1367   |  1.803% | 
 | 128  | Obstagoon          |  0.07112% | 593    |  0.640% | 470    |  0.620% | 
 | 129  | Nidoqueen          |  0.06680% | 116    |  0.125% | 93     |  0.123% | 
 | 130  | Froslass           |  0.06080% | 188    |  0.203% | 171    |  0.225% | 
 | 131  | Thundurus          |  0.06044% | 116    |  0.125% | 91     |  0.120% | 
 | 132  | Scolipede          |  0.06004% | 367    |  0.396% | 295    |  0.389% | 
 | 133  | Shiftry            |  0.05999% | 189    |  0.204% | 131    |  0.173% | 
 | 134  | Jellicent          |  0.05958% | 123    |  0.133% | 100    |  0.132% | 
 | 135  | Pangoro            |  0.05928% | 187    |  0.202% | 152    |  0.200% | 
 | 136  | Weezing-Galar      |  0.05917% | 382    |  0.413% | 310    |  0.409% | 
 | 137  | Slurpuff           |  0.05599% | 425    |  0.459% | 366    |  0.483% | 
 | 138  | Gyarados           |  0.05545% | 1435   |  1.550% | 1184   |  1.561% | 
 | 139  | Incineroar         |  0.05267% | 793    |  0.856% | 638    |  0.841% | 
 | 140  | Tornadus           |  0.04821% | 76     |  0.082% | 55     |  0.073% | 
 | 141  | Zarude             |  0.04788% | 173    |  0.187% | 132    |  0.174% | 
 | 142  | Xurkitree          |  0.04399% | 456    |  0.492% | 370    |  0.488% | 
 | 143  | Starmie            |  0.04218% | 597    |  0.645% | 494    |  0.651% | 
 | 144  | Regigigas          |  0.03632% | 36     |  0.039% | 28     |  0.037% | 
 | 145  | Cursola            |  0.03558% | 109    |  0.118% | 92     |  0.121% | 
 | 146  | Araquanid          |  0.03495% | 369    |  0.399% | 333    |  0.439% | 
 | 147  | Toxtricity         |  0.03372% | 563    |  0.608% | 429    |  0.566% | 
 | 148  | Metagross          |  0.03070% | 587    |  0.634% | 471    |  0.621% | 
 | 149  | Salamence          |  0.02972% | 621    |  0.671% | 492    |  0.649% | 
 | 150  | Tyrantrum          |  0.02956% | 268    |  0.289% | 196    |  0.258% | 
 | 151  | Dhelmise           |  0.02902% | 109    |  0.118% | 92     |  0.121% | 
 | 152  | Grimmsnarl         |  0.02545% | 1285   |  1.388% | 1177   |  1.552% | 
 | 153  | Raichu-Alola       |  0.02481% | 458    |  0.495% | 349    |  0.460% | 
 | 154  | Lanturn            |  0.02216% | 97     |  0.105% | 77     |  0.102% | 
 | 155  | Mantine            |  0.02191% | 160    |  0.173% | 119    |  0.157% | 
 | 156  | Azelf              |  0.02154% | 226    |  0.244% | 204    |  0.269% | 
 | 157  | Aurorus            |  0.02127% | 234    |  0.253% | 192    |  0.253% | 
 | 158  | Inteleon           |  0.01936% | 658    |  0.711% | 535    |  0.705% | 
 | 159  | Kingler            |  0.01865% | 63     |  0.068% | 55     |  0.073% | 
 | 160  | Mienshao           |  0.01830% | 351    |  0.379% | 280    |  0.369% | 
 | 161  | Durant             |  0.01757% | 113    |  0.122% | 89     |  0.117% | 
 | 162  | Sandslash-Alola    |  0.01741% | 55     |  0.059% | 48     |  0.063% | 
 | 163  | Vileplume          |  0.01678% | 130    |  0.140% | 105    |  0.138% | 
 | 164  | Exeggutor-Alola    |  0.01669% | 148    |  0.160% | 109    |  0.144% | 
 | 165  | Sirfetch'd         |  0.01620% | 313    |  0.338% | 256    |  0.338% | 
 | 166  | Milotic            |  0.01602% | 937    |  1.012% | 738    |  0.973% | 
 | 167  | Heliolisk          |  0.01587% | 165    |  0.178% | 122    |  0.161% | 
 | 168  | Sandaconda         |  0.01544% | 369    |  0.399% | 319    |  0.421% | 
 | 169  | Heracross          |  0.01363% | 237    |  0.256% | 174    |  0.229% | 
 | 170  | Ludicolo           |  0.01345% | 352    |  0.380% | 270    |  0.356% | 
 | 171  | Golisopod          |  0.01315% | 445    |  0.481% | 357    |  0.471% | 
 | 172  | Aggron             |  0.01217% | 234    |  0.253% | 200    |  0.264% | 
 | 173  | Toxicroak          |  0.01184% | 322    |  0.348% | 230    |  0.303% | 
 | 174  | Charizard          |  0.01140% | 941    |  1.016% | 722    |  0.952% | 
 | 175  | Vaporeon           |  0.01095% | 234    |  0.253% | 195    |  0.257% | 
 | 176  | Arctovish          |  0.01086% | 85     |  0.092% | 57     |  0.075% | 
 | 177  | Ribombee           |  0.01064% | 455    |  0.491% | 428    |  0.564% | 
 | 178  | Clawitzer          |  0.01058% | 73     |  0.079% | 58     |  0.076% | 
 | 179  | Talonflame         |  0.01023% | 185    |  0.200% | 149    |  0.196% | 
 | 180  | Comfey             |  0.00975% | 78     |  0.084% | 71     |  0.094% | 
 | 181  | Celebi             |  0.00879% | 139    |  0.150% | 109    |  0.144% | 
 | 182  | Aerodactyl         |  0.00853% | 546    |  0.590% | 439    |  0.579% | 
 | 183  | Lucario            |  0.00823% | 613    |  0.662% | 490    |  0.646% | 
 | 184  | Claydol            |  0.00799% | 53     |  0.057% | 38     |  0.050% | 
 | 185  | Bronzong           |  0.00780% | 206    |  0.222% | 187    |  0.247% | 
 | 186  | Golurk             |  0.00716% | 178    |  0.192% | 146    |  0.193% | 
 | 187  | Jynx               |  0.00551% | 31     |  0.033% | 28     |  0.037% | 
 | 188  | Raboot             |  0.00483% | 13     |  0.014% | 10     |  0.013% | 
 | 189  | Articuno-Galar     |  0.00474% | 102    |  0.110% | 69     |  0.091% | 
 | 190  | Shelmet            |  0.00442% | 3      |  0.003% | 2      |  0.003% | 
 | 191  | Appletun           |  0.00438% | 62     |  0.067% | 48     |  0.063% | 
 | 192  | Dusclops           |  0.00433% | 186    |  0.201% | 150    |  0.198% | 
 | 193  | Mr. Rime           |  0.00418% | 83     |  0.090% | 66     |  0.087% | 
 | 194  | Crobat             |  0.00395% | 541    |  0.584% | 419    |  0.552% | 
 | 195  | Politoed           |  0.00391% | 277    |  0.299% | 242    |  0.319% | 
 | 196  | Tsareena           |  0.00390% | 190    |  0.205% | 150    |  0.198% | 
 | 197  | Raikou             |  0.00385% | 121    |  0.131% | 97     |  0.128% | 
 | 198  | Lickilicky         |  0.00381% | 23     |  0.025% | 12     |  0.016% | 
 | 199  | Chandelure         |  0.00372% | 682    |  0.737% | 546    |  0.720% | 
 | 200  | Tentacruel         |  0.00359% | 329    |  0.355% | 258    |  0.340% | 
 | 201  | Goodra             |  0.00358% | 306    |  0.330% | 253    |  0.334% | 
 | 202  | Pikachu            |  0.00356% | 234    |  0.253% | 185    |  0.244% | 
 | 203  | Copperajah         |  0.00350% | 198    |  0.214% | 157    |  0.207% | 
 | 204  | Jolteon            |  0.00327% | 192    |  0.207% | 147    |  0.194% | 
 | 205  | Mudsdale           |  0.00297% | 142    |  0.153% | 111    |  0.146% | 
 | 206  | Vikavolt           |  0.00286% | 350    |  0.378% | 296    |  0.390% | 
 | 207  | Silvally-Electric  |  0.00242% | 23     |  0.025% | 19     |  0.025% | 
 | 208  | Decidueye          |  0.00212% | 155    |  0.167% | 114    |  0.150% | 
 | 209  | Machamp            |  0.00210% | 333    |  0.360% | 279    |  0.368% | 
 | 210  | Braviary           |  0.00209% | 106    |  0.114% | 83     |  0.109% | 
 | 211  | Dragalge           |  0.00204% | 146    |  0.158% | 114    |  0.150% | 
 | 212  | Abomasnow          |  0.00202% | 130    |  0.140% | 109    |  0.144% | 
 | 213  | Runerigus          |  0.00192% | 136    |  0.147% | 124    |  0.164% | 
 | 214  | Rapidash-Galar     |  0.00190% | 65     |  0.070% | 45     |  0.059% | 
 | 215  | Sharpedo           |  0.00170% | 287    |  0.310% | 213    |  0.281% | 
 | 216  | Uxie               |  0.00160% | 121    |  0.131% | 111    |  0.146% | 
 | 217  | Archeops           |  0.00160% | 331    |  0.357% | 266    |  0.351% | 
 | 218  | Tauros             |  0.00158% | 88     |  0.095% | 70     |  0.092% | 
 | 219  | Whimsicott         |  0.00156% | 273    |  0.295% | 242    |  0.319% | 
 | 220  | Magmortar          |  0.00146% | 87     |  0.094% | 61     |  0.080% | 
 | 221  | Silvally-Fairy     |  0.00142% | 17     |  0.018% | 13     |  0.017% | 
 | 222  | Flygon             |  0.00141% | 373    |  0.403% | 282    |  0.372% | 
 | 223  | Sceptile           |  0.00135% | 189    |  0.204% | 125    |  0.165% | 
 | 224  | Pinsir             |  0.00131% | 7      |  0.008% | 4      |  0.005% | 
 | 225  | Silvally-Ground    |  0.00129% | 22     |  0.024% | 17     |  0.022% | 
 | 226  | Glaceon            |  0.00128% | 83     |  0.090% | 57     |  0.075% | 
 | 227  | Galvantula         |  0.00126% | 461    |  0.498% | 395    |  0.521% | 
 | 228  | Accelgor           |  0.00108% | 98     |  0.106% | 79     |  0.104% | 
 | 229  | Pyukumuku          |  0.00106% | 212    |  0.229% | 158    |  0.208% | 
 | 230  | Rotom-Mow          |  0.00101% | 149    |  0.161% | 140    |  0.185% | 
 | 231  | Pincurchin         |  0.00101% | 78     |  0.084% | 63     |  0.083% | 
 | 232  | Shiinotic          |  0.00099% | 100    |  0.108% | 84     |  0.111% | 
 | 233  | Silvally           |  0.00095% | 81     |  0.087% | 67     |  0.088% | 
 | 234  | Electivire         |  0.00095% | 213    |  0.230% | 161    |  0.212% | 
 | 235  | Cryogonal          |  0.00093% | 28     |  0.030% | 19     |  0.025% | 
 | 236  | Mawile             |  0.00093% | 64     |  0.069% | 56     |  0.074% | 
 | 237  | Roserade           |  0.00093% | 446    |  0.482% | 366    |  0.483% | 
 | 238  | Golduck            |  0.00089% | 41     |  0.044% | 36     |  0.047% | 
 | 239  | Gothitelle         |  0.00087% | 24     |  0.026% | 14     |  0.018% | 
 | 240  | Indeedee-F         |  0.00085% | 102    |  0.110% | 80     |  0.105% | 
 | 241  | Butterfree         |  0.00083% | 108    |  0.117% | 86     |  0.113% | 
 | 242  | Lapras             |  0.00082% | 248    |  0.268% | 192    |  0.253% | 
 | 243  | Rotom-Frost        |  0.00078% | 52     |  0.056% | 42     |  0.055% | 
 | 244  | Indeedee           |  0.00078% | 254    |  0.274% | 186    |  0.245% | 
 | 245  | Silvally-Ghost     |  0.00076% | 18     |  0.019% | 14     |  0.018% | 
 | 246  | Glastrier          |  0.00070% | 119    |  0.129% | 91     |  0.120% | 
 | 247  | Turtonator         |  0.00068% | 38     |  0.041% | 38     |  0.050% | 
 | 248  | Hitmontop          |  0.00066% | 160    |  0.173% | 123    |  0.162% | 
 | 249  | Sylveon            |  0.00065% | 261    |  0.282% | 212    |  0.280% | 
 | 250  | Kabutops           |  0.00065% | 106    |  0.114% | 76     |  0.100% | 
 | 251  | Marowak            |  0.00064% | 60     |  0.065% | 55     |  0.073% | 
 | 252  | Malamar            |  0.00062% | 106    |  0.114% | 95     |  0.125% | 
 | 253  | Gourgeist-Super    |  0.00062% | 30     |  0.032% | 23     |  0.030% | 
 | 254  | Corsola-Galar      |  0.00057% | 197    |  0.213% | 159    |  0.210% | 
 | 255  | Cradily            |  0.00056% | 203    |  0.219% | 163    |  0.215% | 
 | 256  | Wigglytuff         |  0.00056% | 24     |  0.026% | 18     |  0.024% | 
 | 257  | Aron               |  0.00049% | 232    |  0.251% | 193    |  0.254% | 
 | 258  | Liepard            |  0.00048% | 139    |  0.150% | 112    |  0.148% | 
 | 259  | Gallade            |  0.00041% | 109    |  0.118% | 75     |  0.099% | 
 | 260  | Boltund            |  0.00039% | 139    |  0.150% | 112    |  0.148% | 
 | 261  | Dugtrio            |  0.00039% | 50     |  0.054% | 33     |  0.044% | 
 | 262  | Salazzle           |  0.00038% | 782    |  0.845% | 568    |  0.749% | 
 | 263  | Cottonee           |  0.00036% | 62     |  0.067% | 55     |  0.073% | 
 | 264  | Kangaskhan         |  0.00036% | 74     |  0.080% | 64     |  0.084% | 
 | 265  | Wailord            |  0.00036% | 38     |  0.041% | 27     |  0.036% | 
 | 266  | Sableye            |  0.00036% | 238    |  0.257% | 187    |  0.247% | 
 | 267  | Dusknoir           |  0.00034% | 48     |  0.052% | 36     |  0.047% | 
 | 268  | Druddigon          |  0.00033% | 118    |  0.127% | 104    |  0.137% | 
 | 269  | Scrafty            |  0.00032% | 163    |  0.176% | 132    |  0.174% | 
 | 270  | Beheeyem           |  0.00032% | 35     |  0.038% | 26     |  0.034% | 
 | 271  | Happiny            |  0.00031% | 2      |  0.002% | 2      |  0.003% | 
 | 272  | Duskull            |  0.00031% | 2      |  0.002% | 2      |  0.003% | 
 | 273  | Cofagrigus         |  0.00028% | 200    |  0.216% | 156    |  0.206% | 
 | 274  | Mr. Mime           |  0.00027% | 364    |  0.393% | 288    |  0.380% | 
 | 275  | Exploud            |  0.00025% | 95     |  0.103% | 64     |  0.084% | 
 | 276  | Ninetales          |  0.00025% | 239    |  0.258% | 193    |  0.254% | 
 | 277  | Orbeetle           |  0.00025% | 120    |  0.130% | 60     |  0.079% | 
 | 278  | Sandslash          |  0.00024% | 37     |  0.040% | 25     |  0.033% | 
 | 279  | Leafeon            |  0.00024% | 82     |  0.089% | 67     |  0.088% | 
 | 280  | Doublade           |  0.00024% | 62     |  0.067% | 53     |  0.070% | 
 | 281  | Lopunny            |  0.00024% | 100    |  0.108% | 81     |  0.107% | 
 | 282  | Eiscue             |  0.00022% | 40     |  0.043% | 33     |  0.044% | 
 | 283  | Emolga             |  0.00022% | 71     |  0.077% | 59     |  0.078% | 
 | 284  | Dugtrio-Alola      |  0.00022% | 71     |  0.077% | 52     |  0.069% | 
 | 285  | Lurantis           |  0.00022% | 86     |  0.093% | 67     |  0.088% | 
 | 286  | Noivern            |  0.00022% | 186    |  0.201% | 151    |  0.199% | 
 | 287  | Absol              |  0.00021% | 128    |  0.138% | 102    |  0.134% | 
 | 288  | Ninjask            |  0.00020% | 85     |  0.092% | 62     |  0.082% | 
 | 289  | Lilligant          |  0.00020% | 23     |  0.025% | 17     |  0.022% | 
 | 290  | Arcanine           |  0.00020% | 436    |  0.471% | 342    |  0.451% | 
 | 291  | Riolu              |  0.00018% | 10     |  0.011% | 8      |  0.011% | 
 | 292  | Scyther            |  0.00018% | 409    |  0.442% | 328    |  0.432% | 
 | 293  | Regirock           |  0.00017% | 78     |  0.084% | 54     |  0.071% | 
 | 294  | Bouffalant         |  0.00015% | 35     |  0.038% | 22     |  0.029% | 
 | 295  | Qwilfish           |  0.00015% | 38     |  0.041% | 34     |  0.045% | 
 | 296  | Flapple            |  0.00014% | 34     |  0.037% | 28     |  0.037% | 
 | 297  | Togedemaru         |  0.00013% | 130    |  0.140% | 110    |  0.145% | 
 | 298  | Falinks            |  0.00011% | 35     |  0.038% | 29     |  0.038% | 
 | 299  | Stunfisk           |  0.00010% | 34     |  0.037% | 27     |  0.036% | 
 | 300  | Trevenant          |  0.00010% | 51     |  0.055% | 40     |  0.053% | 
 | 301  | Linoone            |  0.00009% | 601    |  0.649% | 457    |  0.603% | 
 | 302  | Altaria            |  0.00008% | 41     |  0.044% | 30     |  0.040% | 
 | 303  | Armaldo            |  0.00008% | 78     |  0.084% | 60     |  0.079% | 
 | 304  | Darumaka           |  0.00008% | 1      |  0.001% | 1      |  0.001% | 
 | 305  | Diancie            |  0.00008% | 62     |  0.067% | 54     |  0.071% | 
 | 306  | Luxray             |  0.00007% | 76     |  0.082% | 56     |  0.074% | 
 | 307  | Carracosta         |  0.00007% | 56     |  0.060% | 45     |  0.059% | 
 | 308  | Wishiwashi         |  0.00007% | 31     |  0.033% | 24     |  0.032% | 
 | 309  | Crustle            |  0.00007% | 42     |  0.045% | 33     |  0.044% | 
 | 310  | Steelix            |  0.00006% | 190    |  0.205% | 163    |  0.215% | 
 | 311  | Carbink            |  0.00006% | 25     |  0.027% | 22     |  0.029% | 
 | 312  | Walrein            |  0.00006% | 91     |  0.098% | 77     |  0.102% | 
 | 313  | Musharna           |  0.00005% | 27     |  0.029% | 21     |  0.028% | 
 | 314  | Poliwrath          |  0.00005% | 186    |  0.201% | 132    |  0.174% | 
 | 315  | Wobbuffet          |  0.00004% | 62     |  0.067% | 43     |  0.057% | 
 | 316  | Eevee              |  0.00004% | 44     |  0.048% | 37     |  0.049% | 
 | 317  | Stunfisk-Galar     |  0.00004% | 39     |  0.042% | 37     |  0.049% | 
 | 318  | Lycanroc           |  0.00004% | 188    |  0.203% | 154    |  0.203% | 
 | 319  | Porygon            |  0.00004% | 2      |  0.002% | 1      |  0.001% | 
 | 320  | Weezing            |  0.00004% | 102    |  0.110% | 79     |  0.104% | 
 | 321  | Drednaw            |  0.00004% | 60     |  0.065% | 37     |  0.049% | 
