 Total battles: 111042
 Avg. weight/team: 0.62
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 38   | Scizor-Mega        |  5.05525% | 10868  |  4.894% | 8754   |  4.975% | 
 | 39   | Diancie-Mega       |  4.81486% | 9244   |  4.162% | 8095   |  4.601% | 
 | 40   | Tyranitar          |  4.61440% | 10166  |  4.578% | 8220   |  4.672% | 
 | 41   | Jirachi            |  4.28866% | 8653   |  3.896% | 6803   |  3.866% | 
 | 42   | Cresselia          |  4.20629% | 7038   |  3.169% | 5076   |  2.885% | 
 | 43   | Weavile            |  4.12126% | 8636   |  3.889% | 6386   |  3.629% | 
 | 44   | Dragonite          |  4.07403% | 9958   |  4.484% | 7277   |  4.136% | 
 | 45   | Sableye-Mega       |  4.03662% | 8295   |  3.735% | 7557   |  4.295% | 
 | 46   | Tyranitar-Mega     |  3.64688% | 7021   |  3.161% | 5673   |  3.224% | 
 | 47   | Gyarados-Mega      |  3.59930% | 7202   |  3.243% | 5448   |  3.096% | 
 | 48   | Latias-Mega        |  3.54352% | 6271   |  2.824% | 4804   |  2.730% | 
 | 49   | Mimikyu            |  3.21352% | 7675   |  3.456% | 5445   |  3.094% | 
 | 50   | Pinsir-Mega        |  3.17942% | 5985   |  2.695% | 4416   |  2.510% | 
 | 51   | Tangrowth          |  3.17061% | 6404   |  2.884% | 4964   |  2.821% | 
 | 52   | Manaphy            |  2.97984% | 5877   |  2.646% | 4284   |  2.435% | 
 | 53   | Keldeo             |  2.93908% | 5572   |  2.509% | 4418   |  2.511% | 
 | 54   | Venusaur-Mega      |  2.93669% | 6613   |  2.978% | 5212   |  2.962% | 
 | 55   | Azumarill          |  2.79674% | 8467   |  3.813% | 6523   |  3.707% | 
 | 56   | Bisharp            |  2.72398% | 5389   |  2.427% | 4020   |  2.285% | 
 | 57   | Mew                |  2.48549% | 4883   |  2.199% | 4250   |  2.415% | 
 | 58   | Marowak-Alola      |  2.27333% | 4486   |  2.020% | 3596   |  2.044% | 
 | 59   | Crawdaunt          |  2.22680% | 4229   |  1.904% | 3327   |  1.891% | 
 | 60   | Seismitoad         |  2.14390% | 3365   |  1.515% | 3101   |  1.762% | 
 | 61   | Ditto              |  2.07966% | 4950   |  2.229% | 3673   |  2.087% | 
 | 62   | Hoopa-Unbound      |  1.96555% | 3551   |  1.599% | 2574   |  1.463% | 
 | 63   | Beedrill-Mega      |  1.93211% | 5257   |  2.367% | 4177   |  2.374% | 
 | 64   | Zeraora            |  1.87931% | 4712   |  2.122% | 3680   |  2.091% | 
 | 65   | Reuniclus          |  1.87646% | 3496   |  1.574% | 2626   |  1.492% | 
 | 66   | Slowbro            |  1.66681% | 3348   |  1.508% | 2750   |  1.563% | 
 | 67   | Scizor             |  1.55375% | 4253   |  1.915% | 3291   |  1.870% | 
 | 68   | Araquanid          |  1.54576% | 3456   |  1.556% | 3076   |  1.748% | 
 | 69   | Gyarados           |  1.51648% | 4153   |  1.870% | 3191   |  1.813% | 
 | 70   | Breloom            |  1.50037% | 4131   |  1.860% | 3146   |  1.788% | 
 | 71   | Thundurus-Therian  |  1.48613% | 3493   |  1.573% | 2664   |  1.514% | 
 | 72   | Amoonguss          |  1.44370% | 3282   |  1.478% | 2578   |  1.465% | 
 | 73   | Hippowdon          |  1.43221% | 3233   |  1.456% | 2789   |  1.585% | 
 | 74   | Starmie            |  1.43146% | 2878   |  1.296% | 2223   |  1.263% | 
 | 75   | Torkoal            |  1.38333% | 3774   |  1.699% | 3397   |  1.931% | 
 | 76   | Ninetales-Alola    |  1.37515% | 3377   |  1.521% | 2800   |  1.591% | 
 | 77   | Muk-Alola          |  1.35677% | 2929   |  1.319% | 2317   |  1.317% | 
 | 78   | Infernape          |  1.35036% | 4703   |  2.118% | 3766   |  2.140% | 
 | 79   | Gastrodon          |  1.34369% | 3163   |  1.424% | 2587   |  1.470% | 
 | 80   | Ribombee           |  1.33630% | 3036   |  1.367% | 2724   |  1.548% | 
 | 81   | Buzzwole           |  1.33434% | 3010   |  1.355% | 2256   |  1.282% | 
 | 82   | Porygon-Z          |  1.32035% | 3695   |  1.664% | 2502   |  1.422% | 
 | 83   | Gallade-Mega       |  1.30042% | 4185   |  1.884% | 3151   |  1.791% | 
 | 84   | Hydreigon          |  1.27745% | 3241   |  1.459% | 2434   |  1.383% | 
 | 85   | Quagsire           |  1.25842% | 2904   |  1.308% | 2106   |  1.197% | 
 | 86   | Gengar             |  1.22564% | 4489   |  2.021% | 3410   |  1.938% | 
 | 87   | Blissey            |  1.14795% | 2905   |  1.308% | 2231   |  1.268% | 
 | 88   | Mamoswine          |  1.09935% | 2941   |  1.324% | 2450   |  1.392% | 
 | 89   | Cloyster           |  1.09310% | 3659   |  1.648% | 2861   |  1.626% | 
 | 90   | Manectric-Mega     |  1.08742% | 2789   |  1.256% | 2239   |  1.272% | 
 | 91   | Venusaur           |  1.06384% | 3170   |  1.427% | 2365   |  1.344% | 
 | 92   | Altaria-Mega       |  1.05390% | 2754   |  1.240% | 2134   |  1.213% | 
 | 93   | Darmanitan         |  0.99352% | 2908   |  1.309% | 2326   |  1.322% | 
 | 94   | Goodra             |  0.98506% | 3335   |  1.502% | 2501   |  1.421% | 
 | 95   | Porygon2           |  0.97418% | 3624   |  1.632% | 2887   |  1.641% | 
 | 96   | Xurkitree          |  0.96490% | 2561   |  1.153% | 1888   |  1.073% | 
 | 97   | Kingdra            |  0.95225% | 2999   |  1.350% | 2110   |  1.199% | 
 | 98   | Arcanine           |  0.94828% | 3365   |  1.515% | 2672   |  1.519% | 
 | 99   | Latios             |  0.93726% | 2553   |  1.150% | 1905   |  1.083% | 
 | 100  | Shedinja           |  0.93196% | 2357   |  1.061% | 1482   |  0.842% | 
 | 101  | Espeon             |  0.89356% | 2984   |  1.344% | 2226   |  1.265% | 
 | 102  | Salamence          |  0.86936% | 2892   |  1.302% | 2232   |  1.268% | 
 | 103  | Togekiss           |  0.86437% | 4423   |  1.992% | 3208   |  1.823% | 
 | 104  | Heracross-Mega     |  0.86344% | 1906   |  0.858% | 1439   |  0.818% | 
 | 105  | Volcanion          |  0.83928% | 2538   |  1.143% | 2089   |  1.187% | 
 | 106  | Staraptor          |  0.83891% | 2207   |  0.994% | 1720   |  0.978% | 
 | 107  | Nidoking           |  0.83341% | 2230   |  1.004% | 1787   |  1.016% | 
 | 108  | Conkeldurr         |  0.82703% | 2823   |  1.271% | 2110   |  1.199% | 
 | 109  | Latios-Mega        |  0.82645% | 1684   |  0.758% | 1314   |  0.747% | 
 | 110  | Garchomp-Mega      |  0.82626% | 2708   |  1.219% | 2076   |  1.180% | 
 | 111  | Nihilego           |  0.81917% | 1947   |  0.877% | 1591   |  0.904% | 
 | 112  | Snorlax            |  0.77058% | 2880   |  1.297% | 2289   |  1.301% | 
 | 113  | Gardevoir-Mega     |  0.76309% | 3221   |  1.450% | 2320   |  1.318% | 
 | 114  | Shuckle            |  0.71904% | 2229   |  1.004% | 2022   |  1.149% | 
 | 115  | Slowbro-Mega       |  0.71743% | 1336   |  0.602% | 1116   |  0.634% | 
 | 116  | Sharpedo-Mega      |  0.70437% | 1744   |  0.785% | 1275   |  0.725% | 
 | 117  | Azelf              |  0.69971% | 1311   |  0.590% | 1229   |  0.698% | 
 | 118  | Suicune            |  0.68475% | 1309   |  0.589% | 1013   |  0.576% | 
 | 119  | Alomomola          |  0.68206% | 1572   |  0.708% | 1237   |  0.703% | 
 | 120  | Primarina          |  0.66904% | 2552   |  1.149% | 1934   |  1.099% | 
 | 121  | Uxie               |  0.63172% | 1472   |  0.663% | 1377   |  0.783% | 
 | 122  | Forretress         |  0.62900% | 1943   |  0.875% | 1707   |  0.970% | 
 | 123  | Chandelure         |  0.62398% | 3137   |  1.413% | 2346   |  1.333% | 
 | 124  | Carbink            |  0.62175% | 879    |  0.396% | 866    |  0.492% | 
 | 125  | Galvantula         |  0.58663% | 2263   |  1.019% | 1990   |  1.131% | 
 | 126  | Empoleon           |  0.55059% | 1966   |  0.885% | 1662   |  0.945% | 
 | 127  | Raichu-Alola       |  0.54728% | 1437   |  0.647% | 1062   |  0.604% | 
 | 128  | Roserade           |  0.54185% | 1943   |  0.875% | 1477   |  0.839% | 
 | 129  | Kyurem             |  0.54183% | 1050   |  0.473% | 796    |  0.452% | 
 | 130  | Salazzle           |  0.54140% | 1848   |  0.832% | 1345   |  0.764% | 
 | 131  | Camerupt-Mega      |  0.53924% | 1063   |  0.479% | 880    |  0.500% | 
 | 132  | Sceptile-Mega      |  0.53689% | 2155   |  0.970% | 1580   |  0.898% | 
 | 133  | Krookodile         |  0.52811% | 1948   |  0.877% | 1531   |  0.870% | 
 | 134  | Aggron-Mega        |  0.51601% | 1616   |  0.728% | 1298   |  0.738% | 
 | 135  | Mandibuzz          |  0.51514% | 1977   |  0.890% | 1431   |  0.813% | 
 | 136  | Thundurus          |  0.51305% | 1147   |  0.516% | 871    |  0.495% | 
 | 137  | Aerodactyl-Mega    |  0.50795% | 1516   |  0.683% | 1157   |  0.658% | 
 | 138  | Alakazam           |  0.50451% | 1786   |  0.804% | 1262   |  0.717% | 
 | 139  | Latias             |  0.49909% | 1528   |  0.688% | 1134   |  0.644% | 
 | 140  | Diggersby          |  0.49836% | 1049   |  0.472% | 806    |  0.458% | 
 | 141  | Umbreon            |  0.47455% | 2556   |  1.151% | 1959   |  1.113% | 
 | 142  | Scolipede          |  0.46883% | 2008   |  0.904% | 1446   |  0.822% | 
 | 143  | Mantine            |  0.44366% | 1179   |  0.531% | 848    |  0.482% | 
 | 144  | Klefki             |  0.43998% | 1427   |  0.643% | 1252   |  0.712% | 
 | 145  | Rotom-Heat         |  0.42000% | 1239   |  0.558% | 1058   |  0.601% | 
 | 146  | Crobat             |  0.41733% | 2099   |  0.945% | 1612   |  0.916% | 
 | 147  | Bronzong           |  0.41649% | 1288   |  0.580% | 1159   |  0.659% | 
 | 148  | Necrozma           |  0.41128% | 806    |  0.363% | 652    |  0.371% | 
 | 149  | Nidoqueen          |  0.40647% | 1052   |  0.474% | 893    |  0.508% | 
 | 150  | Stakataka          |  0.40274% | 1140   |  0.513% | 904    |  0.514% | 
 | 151  | Metagross          |  0.39191% | 1742   |  0.784% | 1374   |  0.781% | 
 | 152  | Pyukumuku          |  0.36985% | 914    |  0.412% | 661    |  0.376% | 
 | 153  | Rhyperior          |  0.36155% | 1047   |  0.471% | 870    |  0.494% | 
 | 154  | Incineroar         |  0.34814% | 2408   |  1.084% | 1935   |  1.100% | 
 | 155  | Lucario            |  0.32957% | 2498   |  1.125% | 1849   |  1.051% | 
 | 156  | Sylveon            |  0.32198% | 1460   |  0.657% | 1049   |  0.596% | 
 | 157  | Tentacruel         |  0.32152% | 1226   |  0.552% | 940    |  0.534% | 
 | 158  | Aerodactyl         |  0.31878% | 919    |  0.414% | 858    |  0.488% | 
 | 159  | Donphan            |  0.30981% | 855    |  0.385% | 695    |  0.395% | 
 | 160  | Komala             |  0.30071% | 678    |  0.305% | 485    |  0.276% | 
 | 161  | Golisopod          |  0.29772% | 1208   |  0.544% | 993    |  0.564% | 
 | 162  | Cofagrigus         |  0.29677% | 1203   |  0.542% | 925    |  0.526% | 
 | 163  | Decidueye          |  0.29441% | 1422   |  0.640% | 1102   |  0.626% | 
 | 164  | Milotic            |  0.28510% | 1886   |  0.849% | 1417   |  0.805% | 
 | 165  | Raikou             |  0.28035% | 541    |  0.244% | 442    |  0.251% | 
 | 166  | Haxorus            |  0.27858% | 1381   |  0.622% | 953    |  0.542% | 
 | 167  | Houndoom-Mega      |  0.27670% | 835    |  0.376% | 597    |  0.339% | 
 | 168  | Glalie-Mega        |  0.27439% | 549    |  0.247% | 459    |  0.261% | 
 | 169  | Talonflame         |  0.27192% | 1437   |  0.647% | 1068   |  0.607% | 
 | 170  | Feraligatr         |  0.26730% | 1177   |  0.530% | 869    |  0.494% | 
 | 171  | Slurpuff           |  0.26705% | 1039   |  0.468% | 762    |  0.433% | 
 | 172  | Absol-Mega         |  0.26570% | 823    |  0.371% | 673    |  0.382% | 
 | 173  | Pidgeot-Mega       |  0.25837% | 1114   |  0.502% | 876    |  0.498% | 
 | 174  | Florges            |  0.25674% | 1165   |  0.525% | 836    |  0.475% | 
 | 175  | Swampert           |  0.25439% | 864    |  0.389% | 736    |  0.418% | 
 | 176  | Hitmonlee          |  0.24844% | 889    |  0.400% | 563    |  0.320% | 
 | 177  | Heracross          |  0.24740% | 992    |  0.447% | 719    |  0.409% | 
 | 178  | Banette-Mega       |  0.24671% | 725    |  0.326% | 542    |  0.308% | 
 | 179  | Ampharos-Mega      |  0.24054% | 697    |  0.314% | 523    |  0.297% | 
 | 180  | Terrakion          |  0.23786% | 513    |  0.231% | 387    |  0.220% | 
 | 181  | Accelgor           |  0.23491% | 611    |  0.275% | 533    |  0.303% | 
 | 182  | Moltres            |  0.22862% | 799    |  0.360% | 632    |  0.359% | 
 | 183  | Escavalier         |  0.21820% | 445    |  0.200% | 376    |  0.214% | 
 | 184  | Blastoise          |  0.21177% | 838    |  0.377% | 707    |  0.402% | 
 | 185  | Gardevoir          |  0.21048% | 1317   |  0.593% | 913    |  0.519% | 
 | 186  | Zygarde-10%        |  0.20735% | 502    |  0.226% | 372    |  0.211% | 
 | 187  | Pikachu            |  0.20320% | 1909   |  0.860% | 1423   |  0.809% | 
 | 188  | Linoone            |  0.20208% | 598    |  0.269% | 455    |  0.259% | 
 | 189  | Jolteon            |  0.20056% | 1370   |  0.617% | 1104   |  0.627% | 
 | 190  | Xatu               |  0.19856% | 607    |  0.273% | 509    |  0.289% | 
 | 191  | Golem-Alola        |  0.19784% | 434    |  0.195% | 337    |  0.192% | 
 | 192  | Ludicolo           |  0.19701% | 1087   |  0.489% | 789    |  0.448% | 
 | 193  | Aggron             |  0.18883% | 760    |  0.342% | 595    |  0.338% | 
 | 194  | Ninetales          |  0.18775% | 959    |  0.432% | 762    |  0.433% | 
 | 195  | Kecleon            |  0.18718% | 566    |  0.255% | 411    |  0.234% | 
 | 196  | Froslass           |  0.18509% | 698    |  0.314% | 610    |  0.347% | 
 | 197  | Swellow            |  0.18420% | 1270   |  0.572% | 992    |  0.564% | 
 | 198  | Politoed           |  0.18340% | 906    |  0.408% | 781    |  0.444% | 
 | 199  | Doublade           |  0.18192% | 676    |  0.304% | 513    |  0.292% | 
 | 200  | Claydol            |  0.18163% | 393    |  0.177% | 362    |  0.206% | 
 | 201  | Sceptile           |  0.18020% | 744    |  0.335% | 553    |  0.314% | 
 | 202  | Toucannon          |  0.17566% | 526    |  0.237% | 409    |  0.232% | 
 | 203  | Noivern            |  0.17535% | 1087   |  0.489% | 828    |  0.471% | 
 | 204  | Celebi             |  0.17489% | 495    |  0.223% | 418    |  0.238% | 
 | 205  | Mienshao           |  0.17447% | 749    |  0.337% | 608    |  0.346% | 
 | 206  | Tyrantrum          |  0.17418% | 785    |  0.353% | 575    |  0.327% | 
 | 207  | Whimsicott         |  0.17196% | 751    |  0.338% | 554    |  0.315% | 
 | 208  | Venomoth           |  0.17191% | 590    |  0.266% | 382    |  0.217% | 
 | 209  | Dragalge           |  0.16296% | 660    |  0.297% | 531    |  0.302% | 
 | 210  | Vivillon           |  0.15871% | 729    |  0.328% | 583    |  0.331% | 
 | 211  | Vaporeon           |  0.15744% | 819    |  0.369% | 639    |  0.363% | 
 | 212  | Chesnaught         |  0.15569% | 510    |  0.230% | 422    |  0.240% | 
 | 213  | Machamp            |  0.15156% | 708    |  0.319% | 589    |  0.335% | 
 | 214  | Dhelmise           |  0.15053% | 515    |  0.232% | 389    |  0.221% | 
 | 215  | Toxicroak          |  0.15019% | 893    |  0.402% | 634    |  0.360% | 
 | 216  | Slowking           |  0.14556% | 435    |  0.196% | 337    |  0.192% | 
 | 217  | Blastoise-Mega     |  0.14508% | 828    |  0.373% | 623    |  0.354% | 
 | 218  | Electivire         |  0.14216% | 1043   |  0.470% | 781    |  0.444% | 
 | 219  | Steelix-Mega       |  0.14138% | 618    |  0.278% | 523    |  0.297% | 
 | 220  | Jellicent          |  0.13989% | 375    |  0.169% | 305    |  0.173% | 
 | 221  | Cobalion           |  0.13972% | 359    |  0.162% | 289    |  0.164% | 
 | 222  | Miltank            |  0.13722% | 342    |  0.154% | 274    |  0.156% | 
 | 223  | Persian-Alola      |  0.13597% | 596    |  0.268% | 545    |  0.310% | 
 | 224  | Archeops           |  0.13381% | 308    |  0.139% | 260    |  0.148% | 
 | 225  | Lycanroc-Dusk      |  0.13265% | 757    |  0.341% | 602    |  0.342% | 
 | 226  | Victreebel         |  0.13220% | 433    |  0.195% | 330    |  0.188% | 
 | 227  | Aurorus            |  0.13173% | 387    |  0.174% | 335    |  0.190% | 
 | 228  | Zangoose           |  0.12965% | 230    |  0.104% | 206    |  0.117% | 
 | 229  | Sandslash-Alola    |  0.12856% | 345    |  0.155% | 283    |  0.161% | 
 | 230  | Drampa             |  0.12528% | 359    |  0.162% | 291    |  0.165% | 
 | 231  | Abomasnow-Mega     |  0.12169% | 555    |  0.250% | 406    |  0.231% | 
 | 232  | Heliolisk          |  0.12013% | 640    |  0.288% | 479    |  0.272% | 
 | 233  | Bewear             |  0.11916% | 499    |  0.225% | 357    |  0.203% | 
 | 234  | Gourgeist-Super    |  0.11821% | 389    |  0.175% | 304    |  0.173% | 
 | 235  | Typhlosion         |  0.11736% | 717    |  0.323% | 506    |  0.288% | 
 | 236  | Lycanroc           |  0.11658% | 346    |  0.156% | 299    |  0.170% | 
 | 237  | Vikavolt           |  0.11583% | 737    |  0.332% | 567    |  0.322% | 
 | 238  | Golduck            |  0.11512% | 255    |  0.115% | 195    |  0.111% | 
 | 239  | Trevenant          |  0.11463% | 479    |  0.216% | 323    |  0.184% | 
 | 240  | Cinccino           |  0.11453% | 466    |  0.210% | 358    |  0.203% | 
 | 241  | Ambipom            |  0.11402% | 519    |  0.234% | 421    |  0.239% | 
 | 242  | Yanmega            |  0.11311% | 623    |  0.281% | 433    |  0.246% | 
 | 243  | Delphox            |  0.11226% | 458    |  0.206% | 355    |  0.202% | 
 | 244  | Qwilfish           |  0.11216% | 339    |  0.153% | 278    |  0.158% | 
 | 245  | Entei              |  0.11021% | 308    |  0.139% | 240    |  0.136% | 
 | 246  | Lilligant          |  0.10991% | 313    |  0.141% | 231    |  0.131% | 
 | 247  | Exeggutor-Alola    |  0.10595% | 320    |  0.144% | 258    |  0.147% | 
 | 248  | Flygon             |  0.10511% | 647    |  0.291% | 480    |  0.273% | 
 | 249  | Leafeon            |  0.10497% | 457    |  0.206% | 348    |  0.198% | 
 | 250  | Magneton           |  0.10269% | 355    |  0.160% | 280    |  0.159% | 
 | 251  | Smeargle           |  0.10006% | 1265   |  0.570% | 1168   |  0.664% | 
 | 252  | Eelektross         |  0.09843% | 600    |  0.270% | 469    |  0.267% | 
 | 253  | Togedemaru         |  0.09783% | 335    |  0.151% | 261    |  0.148% | 
 | 254  | Zoroark            |  0.09708% | 957    |  0.431% | 407    |  0.231% | 
 | 255  | Lapras             |  0.09706% | 963    |  0.434% | 735    |  0.418% | 
 | 256  | Dusclops           |  0.09408% | 530    |  0.239% | 441    |  0.251% | 
 | 257  | Exploud            |  0.09308% | 265    |  0.119% | 208    |  0.118% | 
 | 258  | Hitmontop          |  0.09259% | 426    |  0.192% | 338    |  0.192% | 
 | 259  | Glaceon            |  0.09026% | 220    |  0.099% | 158    |  0.090% | 
 | 260  | Piloswine          |  0.08941% | 259    |  0.117% | 212    |  0.120% | 
 | 261  | Masquerain         |  0.08890% | 364    |  0.164% | 318    |  0.181% | 
 | 262  | Sigilyph           |  0.08832% | 401    |  0.181% | 304    |  0.173% | 
 | 263  | Tornadus           |  0.08683% | 237    |  0.107% | 186    |  0.106% | 
 | 264  | Comfey             |  0.08656% | 538    |  0.242% | 334    |  0.190% | 
 | 265  | Druddigon          |  0.08495% | 263    |  0.118% | 209    |  0.119% | 
 | 266  | Meloetta           |  0.08317% | 366    |  0.165% | 275    |  0.156% | 
 | 267  | Rampardos          |  0.07562% | 288    |  0.130% | 202    |  0.115% | 
 | 268  | Registeel          |  0.07526% | 439    |  0.198% | 369    |  0.210% | 
 | 269  | Durant             |  0.07478% | 289    |  0.130% | 223    |  0.127% | 
 | 270  | Spiritomb          |  0.07122% | 455    |  0.205% | 354    |  0.201% | 
 | 271  | Gligar             |  0.06936% | 202    |  0.091% | 160    |  0.091% | 
 | 272  | Kabutops           |  0.06849% | 281    |  0.127% | 200    |  0.114% | 
 | 273  | Guzzlord           |  0.06834% | 253    |  0.114% | 192    |  0.109% | 
 | 274  | Tsareena           |  0.06779% | 476    |  0.214% | 341    |  0.194% | 
 | 275  | Leavanny           |  0.06672% | 313    |  0.141% | 279    |  0.159% | 
 | 276  | Shaymin            |  0.06601% | 217    |  0.098% | 165    |  0.094% | 
 | 277  | Honchkrow          |  0.06524% | 319    |  0.144% | 235    |  0.134% | 
 | 278  | Mudsdale           |  0.06350% | 323    |  0.145% | 242    |  0.138% | 
 | 279  | Sableye            |  0.06209% | 383    |  0.172% | 328    |  0.186% | 
 | 280  | Stunfisk           |  0.06198% | 146    |  0.066% | 109    |  0.062% | 
 | 281  | Minior             |  0.05938% | 385    |  0.173% | 278    |  0.158% | 
 | 282  | Charizard          |  0.05927% | 702    |  0.316% | 547    |  0.311% | 
 | 283  | Gigalith           |  0.05914% | 465    |  0.209% | 400    |  0.227% | 
 | 284  | Chatot             |  0.05713% | 276    |  0.124% | 249    |  0.142% | 
 | 285  | Avalugg            |  0.05636% | 223    |  0.100% | 154    |  0.088% | 
 | 286  | Vileplume          |  0.05579% | 315    |  0.142% | 255    |  0.145% | 
 | 287  | Slaking            |  0.05563% | 442    |  0.199% | 300    |  0.170% | 
 | 288  | Bibarel            |  0.05546% | 206    |  0.093% | 165    |  0.094% | 
 | 289  | Dugtrio            |  0.05541% | 225    |  0.101% | 186    |  0.106% | 
 | 290  | Silvally           |  0.05525% | 132    |  0.059% | 107    |  0.061% | 
 | 291  | Drapion            |  0.05439% | 387    |  0.174% | 313    |  0.178% | 
 | 292  | Wishiwashi         |  0.05367% | 337    |  0.152% | 251    |  0.143% | 
 | 293  | Cryogonal          |  0.05286% | 190    |  0.086% | 136    |  0.077% | 
 | 294  | Dusknoir           |  0.05263% | 377    |  0.170% | 289    |  0.164% | 
 | 295  | Cradily            |  0.05046% | 342    |  0.154% | 294    |  0.167% | 
 | 296  | Malamar            |  0.04912% | 346    |  0.156% | 257    |  0.146% | 
 | 297  | Braviary           |  0.04818% | 258    |  0.116% | 195    |  0.111% | 
 | 298  | Audino             |  0.04790% | 225    |  0.101% | 172    |  0.098% | 
 | 299  | Meowstic           |  0.04708% | 292    |  0.131% | 232    |  0.132% | 
 | 300  | Raichu             |  0.04612% | 348    |  0.157% | 270    |  0.153% | 
 | 301  | Lurantis           |  0.04497% | 316    |  0.142% | 247    |  0.140% | 
 | 302  | Ariados            |  0.04402% | 278    |  0.125% | 230    |  0.131% | 
 | 303  | Mismagius          |  0.04216% | 369    |  0.166% | 277    |  0.157% | 
 | 304  | Carracosta         |  0.04208% | 142    |  0.064% | 112    |  0.064% | 
 | 305  | Stoutland          |  0.04174% | 154    |  0.069% | 123    |  0.070% | 
 | 306  | Scyther            |  0.04026% | 249    |  0.112% | 183    |  0.104% | 
 | 307  | Gallade            |  0.04000% | 204    |  0.092% | 160    |  0.091% | 
 | 308  | Rotom              |  0.03996% | 102    |  0.046% | 76     |  0.043% | 
 | 309  | Floatzel           |  0.03578% | 236    |  0.106% | 180    |  0.102% | 
 | 310  | Frogadier          |  0.03519% | 135    |  0.061% | 82     |  0.047% | 
 | 311  | Omastar            |  0.03468% | 330    |  0.149% | 233    |  0.132% | 
 | 312  | Hoopa              |  0.03437% | 111    |  0.050% | 75     |  0.043% | 
 | 313  | Houndoom           |  0.03389% | 243    |  0.109% | 183    |  0.104% | 
 | 314  | Rotom-Mow          |  0.03381% | 143    |  0.064% | 120    |  0.068% | 
 | 315  | Palossand          |  0.03373% | 305    |  0.137% | 266    |  0.151% | 
